Comment Date,Comment
"Sep 13, 2021, 1:30:12 AM",Neel Fulton beeeeeeeeeeeeeeeen
"Sep 13, 2021, 3:45:53 PM",nice
"Oct 17, 2021, 9:41:19 PM",Sizeable
"Oct 18, 2021, 10:07:17 PM",Neel Fulton 
"Oct 24, 2021, 4:30:35 PM",Neel Fulton close enough?
"Oct 25, 2021, 10:04:19 PM",Neel Fulton 
"Oct 28, 2021, 11:15:26 PM",Not giving you a kudo
"Nov 1, 2021, 1:27:02 AM",mileage is mileage
"Nov 1, 2021, 9:40:09 PM",Panorama City moment
"Nov 4, 2021, 9:57:46 PM",Neel Fulton 
"Nov 12, 2021, 12:22:09 AM",Bring back high mileage Sean
"Nov 12, 2021, 1:37:58 AM",Neel Fulton 
"Nov 13, 2021, 9:54:45 PM",Neel Fulton 
"Nov 16, 2021, 2:49:02 PM",Neel Fulton 
"Nov 19, 2021, 11:20:54 PM",huge mileage
"Nov 21, 2021, 3:46:57 PM",5 way tie
"Nov 21, 2021, 3:58:04 PM",August Dolmatch this is definitely an old injury
"Nov 21, 2021, 6:21:25 PM",Tem🅱️o?
"Nov 25, 2021, 3:45:24 PM",F
"Nov 25, 2021, 5:34:05 PM",Did you beat him
"Nov 25, 2021, 6:36:41 PM",Darn
"Nov 27, 2021, 3:17:04 PM",Now meme on over to the train station
"Nov 27, 2021, 3:17:56 PM",pov: you can easily run sub 6
"Nov 28, 2021, 1:44:48 PM",Lauryn McKenna no
"Nov 29, 2021, 12:03:54 AM",What did you do to him
"Nov 29, 2021, 10:55:28 PM",Neel Fulton 
"Dec 1, 2021, 1:22:19 PM",LARGE
"Dec 1, 2021, 10:57:03 PM",True
"Dec 2, 2021, 4:06:47 PM",Why didn't you run on the turf
"Dec 3, 2021, 11:23:03 PM",Norah Czajka Why am I a bean?????
"Dec 4, 2021, 1:41:39 AM",Why am I a bean Nora
"Dec 4, 2021, 3:32:29 AM",Huge
"Dec 5, 2021, 10:51:06 PM",Tough
"Dec 6, 2021, 8:27:34 PM",Sounds like somebody lost 178$ worth of airpods
"Dec 6, 2021, 8:49:59 PM",Oh that's fortunate
"Dec 6, 2021, 11:18:39 PM",Sean Dutton so why am I a bean
"Dec 7, 2021, 3:03:15 AM",Flying on the last four
"Dec 9, 2021, 12:42:17 AM",Fast
"Dec 11, 2021, 7:01:10 PM",🐐
"Dec 11, 2021, 7:07:48 PM",My future CMU lad
"Dec 17, 2021, 8:25:30 AM",Or like the iconic lake around and back route
"Dec 17, 2021, 11:04:16 PM",Fast
"Dec 21, 2021, 2:13:31 AM",Wait how'd you end up in Virginia
"Dec 21, 2021, 8:18:45 PM",Ohio moment
"Dec 22, 2021, 12:50:21 AM",Beenton! this is voluminous!
"Dec 22, 2021, 5:06:59 PM",I got domed on the last rep
"Dec 22, 2021, 11:10:38 PM",It is highly unpleasant for me to walk rn
"Dec 24, 2021, 8:13:41 PM",huge
"Dec 26, 2021, 12:29:12 AM",Profoundly voluminous run you've got there
"Dec 26, 2021, 4:09:48 AM",Exposed momenr
"Dec 26, 2021, 5:42:06 AM",Hello Mr Evans
"Dec 26, 2021, 6:46:46 PM",It's tough out there thankfully I moved out though
"Dec 26, 2021, 8:20:34 PM",First the voluminous run now the voluminous Nelt
"Dec 27, 2021, 4:47:06 AM",highly unfortunate
"Dec 27, 2021, 9:06:34 PM",Should've done a Brunch walk smh
"Dec 28, 2021, 1:58:46 AM",good luck
"Dec 28, 2021, 1:59:10 AM",Big squirrel???
"Dec 28, 2021, 9:27:02 PM",goat
"Dec 29, 2021, 5:44:20 PM",unfortunate
"Dec 29, 2021, 9:38:27 PM",This was justified
"Dec 29, 2021, 9:39:06 PM",Squirrel!!
"Dec 30, 2021, 3:54:38 AM",Huge mileage guy
"Dec 30, 2021, 9:59:14 PM",you're old
"Dec 31, 2021, 10:56:09 PM",Huge
"Jan 1, 2022, 12:33:12 AM",Comeback well underway
"Jan 1, 2022, 1:53:24 AM",smh my head
"Jan 1, 2022, 2:44:50 AM",this hill builds character
"Jan 1, 2022, 2:48:43 AM",Damn I wish my rating was 4.18 
"Jan 1, 2022, 3:24:24 AM",I have no idea
"Jan 3, 2022, 2:54:43 AM",menace
"Jan 3, 2022, 7:41:24 AM",This is simply not how I imagined your name would be spelled
"Jan 3, 2022, 8:50:37 PM",Katryna
"Jan 3, 2022, 9:06:14 PM",quick
"Jan 3, 2022, 9:07:03 PM",love to see it
"Jan 3, 2022, 9:12:40 PM",?
"Jan 4, 2022, 6:07:52 AM",sub 2 when?
"Jan 4, 2022, 7:40:28 PM",It really do be like that sometimes
"Jan 5, 2022, 4:48:30 AM",menace mode activated long ago 
"Jan 7, 2022, 12:47:47 AM",you were spotted
"Jan 8, 2022, 3:43:44 AM",exactly only one bathroom trip this time
"Jan 8, 2022, 9:28:54 PM",You absolute legend
"Jan 9, 2022, 9:09:48 PM",Insane
"Jan 10, 2022, 12:30:30 AM",the return at last
"Jan 10, 2022, 3:52:40 AM",Voluminous
"Jan 10, 2022, 6:58:39 PM",Nationals redemption arc begins here
"Jan 11, 2022, 8:46:05 PM",No Fartlek
"Jan 11, 2022, 11:44:18 PM",rip Tom
"Jan 12, 2022, 11:14:31 PM",Heinus route
"Jan 12, 2022, 11:15:00 PM",Yeah who's Joe?
"Jan 13, 2022, 2:14:20 AM",It was an attempt to not loose track of time
"Jan 13, 2022, 6:06:35 PM",return to running?
"Jan 13, 2022, 8:14:12 PM",Ian Matheson yeah 1k
"Jan 13, 2022, 8:47:05 PM",RETURN TO THE CAR
"Jan 14, 2022, 5:53:24 AM",I truly am sorry
"Jan 14, 2022, 6:06:18 PM",hype
"Jan 14, 2022, 10:44:47 PM",Interesting shape you've run there
"Jan 15, 2022, 1:54:30 AM",I like
"Jan 15, 2022, 4:00:44 AM",It really was
"Jan 15, 2022, 4:03:57 AM",Quick
"Jan 15, 2022, 9:50:46 PM",Harder than 1ks though?
"Jan 15, 2022, 10:16:05 PM",what
"Jan 15, 2022, 10:19:39 PM",what?
"Jan 16, 2022, 12:00:59 AM",first you wake up super late and now a 9 minute activity smh
"Jan 16, 2022, 7:25:11 PM",Eamon Brady some would even call me a miler
"Jan 17, 2022, 2:47:09 AM",zopping
"Jan 17, 2022, 10:51:19 PM",I'm not a bean
"Jan 18, 2022, 2:07:21 AM",Michael OBroin no
"Jan 19, 2022, 1:21:08 PM",wait how'd you end up in new Caledonia
"Jan 19, 2022, 4:24:42 PM",spaghetti
"Jan 19, 2022, 6:08:19 PM",Eh
"Jan 19, 2022, 10:45:11 PM",I agree
"Jan 20, 2022, 4:19:32 AM",68 BLOCK?
"Jan 20, 2022, 4:20:00 AM",🅱️ for vocabulary
"Jan 20, 2022, 4:24:21 AM",wolf?
"Jan 20, 2022, 4:26:59 PM",what the fuck is this?
"Jan 20, 2022, 9:19:41 PM",David Durdaller it's the shins not the snow
"Jan 22, 2022, 3:57:45 AM",excellent run
"Jan 22, 2022, 7:27:44 PM",that makes sense
"Jan 24, 2022, 7:45:46 PM",ßig
"Jan 24, 2022, 11:34:19 PM",involuntary treadmill club
"Jan 24, 2022, 11:46:16 PM",Imagine not considering Curtis one of the gals... smh my head...
"Jan 25, 2022, 2:28:15 AM",I'm just impressed I couldn't make it an hour
"Jan 25, 2022, 3:19:02 AM",Lauryn McKenna I'm not a bean
"Jan 25, 2022, 3:15:25 PM",Gaurav Running Tyagi = GRT
"Jan 25, 2022, 3:15:34 PM",or Gert for short
"Jan 26, 2022, 1:18:21 AM",incredible
"Jan 26, 2022, 1:18:45 AM",the return begins
"Jan 26, 2022, 1:32:42 AM",This run looks familiar
"Jan 28, 2022, 4:39:48 AM","tough, hopefully one day you'll join the club"
"Jan 28, 2022, 2:57:50 PM",a 7 second 400m is unreasonably fast
"Jan 28, 2022, 11:43:21 PM",truly based
"Jan 29, 2022, 2:47:42 PM",excellent start to the season
"Jan 30, 2022, 2:38:43 AM",your season is going to be insane
"Jan 30, 2022, 7:40:37 PM",:\
"Jan 31, 2022, 11:36:27 PM",Neel Fulton 
"Feb 2, 2022, 12:01:58 AM",incredible
"Feb 2, 2022, 4:46:28 AM",This is very quick
"Feb 2, 2022, 4:41:38 PM",Bsnee
"Feb 2, 2022, 8:02:51 PM",🦆🦆
"Feb 2, 2022, 11:17:06 PM",Trader Joe's with the hoes?
"Feb 6, 2022, 12:39:04 AM",I can definitively say that I now hate van horn field
"Feb 6, 2022, 1:40:07 AM",Thanks
"Feb 6, 2022, 8:21:43 PM",hey
"Feb 6, 2022, 10:43:19 PM",Neel Fulton 
"Feb 7, 2022, 4:01:48 PM",f
"Feb 8, 2022, 12:00:11 AM",Michelle Murray we're still looking for a price
"Feb 9, 2022, 1:11:40 PM",precisely
"Feb 10, 2022, 4:50:05 PM",that's probably because you're running loops
"Feb 11, 2022, 1:12:27 AM",Hey Mr campus loops
"Feb 11, 2022, 1:13:04 AM",glad to see you're in a good state
"Feb 11, 2022, 9:34:44 PM",Strode
"Feb 12, 2022, 2:33:42 AM",Thank you bee
"Feb 12, 2022, 7:36:39 PM",Triple knotted
"Feb 13, 2022, 2:38:34 AM",I am posted
"Feb 13, 2022, 4:55:20 PM",Norah Czajka you never invite me to noodle Wednesday smh
"Feb 13, 2022, 4:55:52 PM",🦆🦆🦆geese
"Feb 13, 2022, 5:08:04 PM",Missing homie — he's not gone we just miss him
"Feb 13, 2022, 6:50:19 PM",no longer missing the homie
"Feb 13, 2022, 6:50:49 PM",do you like the look of sidewalk?
"Feb 14, 2022, 3:31:56 AM",snow is superior to 90+ degrees
"Feb 15, 2022, 1:39:09 PM",This feels like a season finale
"Feb 16, 2022, 2:56:47 AM",Love to see it
"Feb 16, 2022, 1:16:13 PM",love to see it
"Feb 16, 2022, 1:37:07 PM",hmmmmmmmmmmm
"Feb 16, 2022, 9:07:32 PM",Rufl
"Feb 16, 2022, 11:46:57 PM",Katie I swear it's real this time
"Feb 16, 2022, 11:56:42 PM",that's impossible?!? it's 60 degrees out today
"Feb 17, 2022, 1:21:40 AM",4'8 even
"Feb 17, 2022, 3:42:00 AM",this is such a good start to a season
"Feb 17, 2022, 10:48:26 PM",same but with food
"Feb 18, 2022, 1:24:34 AM",my watch is bonked
"Feb 18, 2022, 1:35:01 PM",quick
"Feb 18, 2022, 1:35:19 PM",this is huge
"Feb 18, 2022, 1:35:35 PM",zooming
"Feb 19, 2022, 2:48:50 PM",activity?
"Feb 19, 2022, 6:22:47 PM",trader Joe's (without the hoes)?
"Feb 20, 2022, 12:15:24 AM",the donut was amazing
"Feb 20, 2022, 5:31:41 PM",Neel Fulton 
"Feb 20, 2022, 5:47:52 PM",why are you in Iowa
"Feb 20, 2022, 9:52:57 PM",That makes sense
"Feb 20, 2022, 9:54:47 PM",wait why didn't you go home
"Feb 21, 2022, 6:07:33 PM",Medium tired
"Feb 21, 2022, 11:42:51 PM",You should meet the other feesh
"Feb 22, 2022, 4:06:56 PM",Hype
"Feb 23, 2022, 12:09:19 AM",Michael OBroin that's true
"Feb 23, 2022, 1:09:46 PM",why
"Feb 23, 2022, 6:43:17 PM",oh ok
"Feb 23, 2022, 11:14:59 PM","if wasn't bad, wasn't good was meh"
"Feb 23, 2022, 11:15:17 PM",wow you're so cool Colin McLaughlin 
"Feb 24, 2022, 4:05:48 AM",The return continues
"Feb 24, 2022, 11:38:10 PM",Season 2 begins
"Feb 25, 2022, 10:59:57 PM",zooming
"Feb 26, 2022, 7:45:46 PM","I know, I'm in a bad state"
"Feb 26, 2022, 8:14:38 PM",fish
"Feb 27, 2022, 12:48:25 AM",Connelly + California Conversion = 2:03 
"Feb 27, 2022, 8:43:01 PM",borscht diet is elite Matthew Coyle 
"Feb 27, 2022, 9:04:09 PM",oh no
"Feb 28, 2022, 1:49:52 PM",good job hitting your weekly distance goal Neel
"Feb 28, 2022, 11:32:49 PM",This guy does mileage
"Mar 3, 2022, 3:56:18 AM",bear?
"Mar 3, 2022, 9:54:36 PM",This girl runs
"Mar 3, 2022, 9:55:24 PM",Meh
"Mar 3, 2022, 9:55:49 PM",what why
"Mar 3, 2022, 10:56:35 PM",shenanigans?
"Mar 4, 2022, 12:07:45 AM",David Durdaller oh okay
"Mar 4, 2022, 3:51:50 AM",love to see jt
"Mar 4, 2022, 3:52:30 AM",🐐
"Mar 4, 2022, 3:53:12 AM",nice work
"Mar 4, 2022, 2:07:02 PM",next up sub 10
"Mar 4, 2022, 2:07:47 PM","Called it. Really proud of you, this is a great season opener"
"Mar 5, 2022, 12:22:02 AM",POV: your parents will have covid
"Mar 5, 2022, 1:15:32 PM",add me
"Mar 5, 2022, 9:02:22 PM",Alex Evans hi
"Mar 5, 2022, 9:13:16 PM",Huge
"Mar 5, 2022, 9:21:12 PM",Shiny
"Mar 5, 2022, 9:21:29 PM",Huge mile guy over here
"Mar 5, 2022, 9:22:43 PM",Huge guy
"Mar 5, 2022, 9:32:37 PM",Sixth
"Mar 5, 2022, 9:53:00 PM",third
"Mar 5, 2022, 10:50:20 PM",oh deer
"Mar 6, 2022, 1:59:16 AM",Where was the ref standing???
"Mar 6, 2022, 2:00:52 AM",Huge mileage gal
"Mar 6, 2022, 5:01:15 AM","Alex Gao should've bodied him, it's his fault"
"Mar 7, 2022, 3:18:26 AM",Nice
"Mar 9, 2022, 3:27:37 PM",square
"Mar 10, 2022, 12:55:36 AM",Nice
"Mar 10, 2022, 2:05:01 AM",should've run 4:08 pace. DisKudo.
"Mar 10, 2022, 2:42:50 AM",unfortunate
"Mar 10, 2022, 2:43:05 AM",guess you'll have to execute at the marathon
"Mar 10, 2022, 2:14:13 PM",bring back the memes
"Mar 10, 2022, 4:23:52 PM",He's back
"Mar 10, 2022, 4:24:56 PM",Don't we all Eamon Brady 
"Mar 10, 2022, 4:33:23 PM",quick
"Mar 10, 2022, 9:11:55 PM",or something
"Mar 11, 2022, 7:28:48 PM",Big mileage Sean is back???
"Mar 11, 2022, 7:28:59 PM",wow
"Mar 11, 2022, 8:39:14 PM",Buy the dip Eamon Brady 
"Mar 11, 2022, 8:39:39 PM",Ohio?
"Mar 11, 2022, 9:33:12 PM",wow you're so friendly Katie
"Mar 11, 2022, 9:36:08 PM",Norah Czajka Why am I a bean?!?
"Mar 11, 2022, 9:40:42 PM",Great getting to know you guys
"Mar 12, 2022, 12:28:33 AM",bones go hard
"Mar 12, 2022, 3:39:27 PM",That moment when you wanted to run but coach said you should take two days off
"Mar 13, 2022, 4:24:20 AM",love to see it
"Mar 13, 2022, 4:57:12 AM",huge
"Mar 14, 2022, 12:54:51 AM",let's go
"Mar 15, 2022, 12:06:02 AM",Yonah Goldberg 
"Mar 15, 2022, 12:45:14 AM",I thought you wanted to be tagged?
"Mar 16, 2022, 12:42:07 PM",or something
"Mar 17, 2022, 9:51:24 PM",your hand gestures scare me
"Mar 17, 2022, 9:58:26 PM",hamdog :(
"Mar 17, 2022, 10:02:40 PM",Avery Tompkins now I'm really scared
"Mar 17, 2022, 10:03:02 PM",David Durdaller probably
"Mar 17, 2022, 10:41:26 PM",damn you've had those spikes for almost as long as you've been in college
"Mar 17, 2022, 11:27:24 PM",Hobby jogger
"Mar 18, 2022, 2:10:17 AM",Nice
"Mar 18, 2022, 4:08:58 PM",elevation gain
"Mar 18, 2022, 7:58:36 PM",Mmm
"Mar 18, 2022, 10:50:59 PM",I disapprove of recording races and warm ups in the same Strava post.
"Mar 18, 2022, 10:52:43 PM",Great race!
"Mar 18, 2022, 10:54:09 PM",Why's the race & cooldown one activity though
"Mar 18, 2022, 11:03:49 PM",Timothy Buchan yeah I keep these things in separate uploads
"Mar 18, 2022, 11:08:57 PM",What do you mean you're not in Pennsylvania????
"Mar 19, 2022, 1:29:40 AM",that's what happens after 12 straight years of training!
"Mar 19, 2022, 2:13:11 AM",cracked
"Mar 19, 2022, 2:16:13 AM",Rent free
"Mar 19, 2022, 3:12:11 PM",bone goes hard
"Mar 19, 2022, 5:12:39 PM",Nooooo bitches
"Mar 19, 2022, 5:51:54 PM",good luck nelton
"Mar 19, 2022, 5:52:01 PM",good luck delton
"Mar 19, 2022, 5:52:32 PM",Watch moment
"Mar 19, 2022, 9:04:33 PM",F
"Mar 19, 2022, 9:47:12 PM",great day to be a Jackson
"Mar 20, 2022, 1:29:54 PM",The DMR is so fun
"Mar 20, 2022, 1:30:03 PM",Also sub 4:20 when?
"Mar 20, 2022, 4:32:41 PM",run
"Mar 20, 2022, 6:08:53 PM",how's your updog?
"Mar 20, 2022, 7:41:58 PM",Tremendous
"Mar 20, 2022, 7:42:21 PM",training block goes hard
"Mar 24, 2022, 2:35:07 AM",he makes his return
"Mar 24, 2022, 11:15:22 PM",I appreciate the support Timothy Buchan 
"Mar 25, 2022, 1:50:50 AM",sub 6 when?
"Mar 25, 2022, 4:15:22 PM",that works too
"Mar 26, 2022, 9:39:33 PM",so exciting
"Mar 27, 2022, 12:07:47 AM",Alex Evans really windy
"Mar 27, 2022, 5:01:08 PM",incredible
"Mar 28, 2022, 10:36:53 PM",she's back
"Mar 30, 2022, 8:07:04 PM",nice
"Mar 31, 2022, 12:32:27 AM",oh no
"Apr 1, 2022, 7:13:36 PM",Slippery Rock goes hard
"Apr 2, 2022, 8:29:42 PM",god damn
"Apr 2, 2022, 9:34:49 PM",5 deer!
"Apr 2, 2022, 10:16:30 PM",yo
"Apr 5, 2022, 10:31:02 PM",You looked good
"Apr 5, 2022, 10:31:14 PM",👏👏👏
"Apr 5, 2022, 10:31:45 PM",workout
"Apr 5, 2022, 10:32:40 PM",oh deer
"Apr 9, 2022, 12:07:51 PM",love to see it
"Apr 9, 2022, 9:29:45 PM",cracked
"Apr 9, 2022, 9:30:15 PM",love to see it
"Apr 10, 2022, 6:57:55 PM",Time travel obviously
"Apr 10, 2022, 9:44:55 PM","Reduce, Reuse, Recycle"
"Apr 11, 2022, 10:27:53 PM",comment
"Apr 14, 2022, 12:22:06 AM",love to see it
"Apr 14, 2022, 1:35:56 PM",bro what
"Apr 15, 2022, 1:15:41 PM",:(
"Apr 16, 2022, 3:44:56 AM",cracked
"Apr 16, 2022, 3:55:50 AM",textbook
"Apr 16, 2022, 3:56:50 AM",bricked
"Apr 16, 2022, 9:53:13 PM",Congratulations on becoming the local legend of Northumberland Street Climb Jackson
"Apr 17, 2022, 4:13:26 PM", bro you look like a brick 🧱
"Apr 18, 2022, 10:58:49 PM",why
"Apr 19, 2022, 10:07:00 PM",hey
"Apr 19, 2022, 10:31:35 PM",Cora Marcet https://www.strava.com/activities/6937395008
"Apr 19, 2022, 10:32:21 PM",I'm happy with you too Yonah
"Apr 20, 2022, 12:15:34 AM",workout
"Apr 20, 2022, 2:51:10 PM",peaceful nelt
"Apr 21, 2022, 4:36:33 AM",mid D is hard.
"Apr 21, 2022, 11:17:29 PM",bad state
"Apr 21, 2022, 11:21:12 PM",I gave you kudos before you even wrote the description
"Apr 23, 2022, 2:09:40 AM",holly shit Matteo
"Apr 23, 2022, 1:49:13 PM",this is insane
"Apr 23, 2022, 9:33:57 PM",cracked
"Apr 23, 2022, 10:04:46 PM",🧱👏👀
"Apr 24, 2022, 7:28:31 PM",He wanted to / Knew he could do better
"Apr 24, 2022, 7:28:48 PM",penis
"Apr 24, 2022, 8:23:47 PM",Bang
"Apr 24, 2022, 8:24:23 PM",Hi Matthew I'm Losha
"Apr 24, 2022, 11:59:46 PM",Neel Fulton????
"Apr 25, 2022, 12:01:43 AM",let's go mone bone!
"May 4, 2022, 6:43:21 PM",illegal
"May 4, 2022, 6:43:37 PM",good.
"May 5, 2022, 1:43:08 AM",Tem🅱️o
"May 6, 2022, 5:20:39 PM","yes, I do care that little. no not rock bottom"
"May 15, 2022, 12:19:22 AM",let's go
"May 15, 2022, 4:23:42 PM",pull up
"May 16, 2022, 4:52:16 PM",the track was hilly
"May 18, 2022, 2:05:02 AM",juicy?
"May 19, 2022, 1:48:12 PM",great race
"May 19, 2022, 6:06:05 PM",ur
"May 19, 2022, 6:27:07 PM",hype
"May 19, 2022, 7:51:53 PM",mid distance stock at an all time high
"May 19, 2022, 9:01:55 PM",🐐🐐🐐
