Follower Athlete ID,Follow Status,Created At
22066007,Accepted,"Mar 30, 2019, 8:36:25 PM"
34209602,Accepted,"Jul 9, 2019, 10:32:50 PM"
20641264,Accepted,"Jul 14, 2019, 5:35:50 PM"
40544004,Accepted,"Apr 17, 2020, 6:25:43 PM"
42826806,Accepted,"Jul 16, 2020, 5:28:56 AM"
14006725,Accepted,"Jul 28, 2021, 12:33:19 PM"
40809813,Accepted,"Aug 7, 2021, 4:57:15 PM"
43594479,Accepted,"Aug 8, 2021, 12:54:24 PM"
21858785,Accepted,"Aug 9, 2021, 2:13:03 PM"
48561844,Accepted,"Aug 11, 2021, 3:55:33 AM"
41572511,Accepted,"Aug 15, 2021, 3:49:44 AM"
41843592,Accepted,"Aug 15, 2021, 3:51:42 AM"
36504793,Accepted,"Aug 15, 2021, 5:20:16 AM"
26277044,Accepted,"Aug 15, 2021, 5:36:16 AM"
14028070,Accepted,"Aug 15, 2021, 6:31:25 AM"
26839431,Accepted,"Aug 15, 2021, 6:55:27 AM"
40176342,Accepted,"Aug 15, 2021, 7:15:26 AM"
20612961,Accepted,"Aug 15, 2021, 9:14:23 AM"
26393483,Accepted,"Aug 15, 2021, 10:42:41 AM"
48923789,Accepted,"Aug 15, 2021, 6:02:44 PM"
35650400,Accepted,"Aug 15, 2021, 8:06:13 PM"
43053479,Accepted,"Aug 15, 2021, 9:25:32 PM"
23142669,Accepted,"Aug 16, 2021, 1:38:02 AM"
36233577,Accepted,"Aug 16, 2021, 4:43:12 AM"
38303554,Accepted,"Aug 18, 2021, 2:22:44 AM"
48941804,Accepted,"Aug 20, 2021, 1:50:30 AM"
31674751,Accepted,"Aug 21, 2021, 9:51:33 PM"
21601183,Accepted,"Aug 22, 2021, 2:45:39 AM"
59164011,Accepted,"Aug 25, 2021, 6:49:08 PM"
54279146,Accepted,"Aug 25, 2021, 9:39:13 PM"
14778699,Accepted,"Aug 27, 2021, 2:08:28 PM"
56316938,Accepted,"Aug 29, 2021, 5:20:51 PM"
44427568,Accepted,"Aug 30, 2021, 10:05:55 PM"
66422417,Accepted,"Aug 31, 2021, 8:53:41 PM"
17395853,Accepted,"Sep 2, 2021, 3:05:52 AM"
29244253,Accepted,"Sep 4, 2021, 5:29:46 PM"
56497807,Accepted,"Sep 4, 2021, 10:31:39 PM"
49436360,Accepted,"Sep 5, 2021, 11:35:14 PM"
59584442,Accepted,"Sep 8, 2021, 12:04:11 AM"
60727176,Accepted,"Sep 10, 2021, 2:29:57 PM"
49294577,Accepted,"Sep 10, 2021, 11:16:54 PM"
43262936,Accepted,"Sep 12, 2021, 1:43:22 PM"
54393786,Accepted,"Sep 14, 2021, 5:21:29 PM"
39820789,Accepted,"Sep 17, 2021, 7:30:36 PM"
44046609,Accepted,"Sep 17, 2021, 7:31:26 PM"
7451463,Accepted,"Sep 17, 2021, 7:37:37 PM"
53557515,Accepted,"Sep 17, 2021, 8:28:50 PM"
31023638,Accepted,"Sep 18, 2021, 6:09:48 PM"
23587825,Accepted,"Sep 19, 2021, 3:44:09 PM"
29702107,Accepted,"Sep 19, 2021, 8:15:24 PM"
27522731,Accepted,"Sep 20, 2021, 6:06:40 AM"
55917850,Accepted,"Sep 26, 2021, 12:33:05 AM"
49596117,Accepted,"Sep 26, 2021, 12:34:58 AM"
87606697,Accepted,"Sep 26, 2021, 3:25:29 AM"
21539782,Accepted,"Sep 26, 2021, 1:43:36 PM"
87740052,Accepted,"Sep 27, 2021, 12:37:58 AM"
24121196,Accepted,"Oct 1, 2021, 7:06:30 PM"
35092668,Accepted,"Oct 2, 2021, 12:56:52 AM"
43978353,Accepted,"Oct 8, 2021, 2:14:13 AM"
32880466,Accepted,"Oct 10, 2021, 1:58:42 PM"
21585628,Accepted,"Oct 16, 2021, 7:03:09 PM"
33287600,Accepted,"Oct 16, 2021, 8:35:10 PM"
26240156,Accepted,"Oct 17, 2021, 2:27:29 AM"
20467029,Accepted,"Oct 17, 2021, 4:50:27 AM"
26171691,Accepted,"Oct 17, 2021, 5:29:18 PM"
73978444,Accepted,"Oct 27, 2021, 4:15:01 PM"
24227724,Accepted,"Oct 27, 2021, 10:14:55 PM"
28220585,Accepted,"Oct 28, 2021, 1:29:44 AM"
53325309,Accepted,"Nov 8, 2021, 11:00:08 PM"
52188193,Accepted,"Nov 12, 2021, 12:15:02 AM"
34192755,Accepted,"Nov 18, 2021, 2:15:04 PM"
91883316,Accepted,"Nov 18, 2021, 2:39:37 PM"
88945516,Accepted,"Nov 21, 2021, 7:47:31 PM"
28496267,Accepted,"Nov 24, 2021, 9:34:11 PM"
36819134,Accepted,"Nov 24, 2021, 9:56:00 PM"
37079446,Accepted,"Nov 26, 2021, 3:27:07 PM"
29271386,Accepted,"Dec 5, 2021, 8:56:41 PM"
35367650,Accepted,"Dec 14, 2021, 10:46:15 PM"
44824810,Accepted,"Dec 17, 2021, 11:50:37 PM"
68896853,Accepted,"Dec 20, 2021, 11:06:34 PM"
96073251,Accepted,"Dec 29, 2021, 4:27:15 PM"
54594642,Accepted,"Dec 29, 2021, 8:10:01 PM"
65932586,Accepted,"Dec 30, 2021, 4:37:41 AM"
47724365,Accepted,"Jan 2, 2022, 3:16:29 AM"
96705937,Accepted,"Jan 3, 2022, 6:53:47 PM"
96537649,Accepted,"Jan 3, 2022, 8:23:18 PM"
35241902,Accepted,"Jan 3, 2022, 8:45:28 PM"
26340651,Accepted,"Jan 4, 2022, 1:48:43 AM"
40032927,Accepted,"Jan 15, 2022, 4:26:11 AM"
63742979,Accepted,"Jan 19, 2022, 10:38:39 AM"
22252026,Accepted,"Jan 25, 2022, 12:25:22 AM"
23062419,Accepted,"Feb 8, 2022, 2:17:54 AM"
49460957,Accepted,"Feb 10, 2022, 12:39:41 AM"
51064123,Accepted,"Feb 10, 2022, 4:43:06 PM"
59309693,Accepted,"Mar 5, 2022, 8:27:40 AM"
99773541,Accepted,"Mar 5, 2022, 9:54:06 PM"
41015042,Accepted,"Mar 12, 2022, 1:21:27 AM"
27122387,Accepted,"Mar 12, 2022, 1:00:07 PM"
35749768,Accepted,"Mar 16, 2022, 6:29:47 AM"
75878022,Accepted,"Mar 18, 2022, 12:54:54 AM"
45957704,Accepted,"Mar 19, 2022, 12:02:18 AM"
73365401,Accepted,"Mar 19, 2022, 3:16:01 AM"
43847959,Accepted,"Mar 19, 2022, 12:24:58 PM"
35675337,Accepted,"Mar 22, 2022, 1:54:03 AM"
90313090,Accepted,"Mar 25, 2022, 10:01:40 PM"
32522578,Accepted,"Apr 1, 2022, 5:46:24 AM"
49198551,Accepted,"Apr 3, 2022, 5:17:31 PM"
26261323,Accepted,"Apr 13, 2022, 4:40:32 PM"
3477919,Accepted,"Apr 23, 2022, 5:31:59 AM"
66383612,Accepted,"May 7, 2022, 7:42:16 PM"
53235257,Accepted,"May 26, 2022, 1:34:06 AM"
13657080,Accepted,"May 27, 2022, 3:26:33 AM"
52691168,Accepted,"Jun 6, 2022, 5:12:39 PM"
40404934,Accepted,"Jun 13, 2022, 4:21:07 AM"
25455193,Accepted,"Jul 2, 2022, 3:14:52 PM"
35183548,Accepted,"Jul 6, 2022, 5:35:31 PM"
105503493,Accepted,"Jul 12, 2022, 12:51:25 AM"
38616256,Accepted,"Jul 14, 2022, 10:16:58 PM"
87346467,Accepted,"Aug 2, 2022, 2:33:39 PM"
39749006,Accepted,"Aug 18, 2022, 3:42:55 PM"
37499946,Accepted,"Aug 23, 2022, 10:24:49 PM"
65285815,Accepted,"Aug 26, 2022, 12:21:31 PM"
45786941,Accepted,"Aug 26, 2022, 1:20:26 PM"
62732080,Accepted,"Aug 31, 2022, 6:52:53 PM"
108069564,Accepted,"Sep 10, 2022, 9:16:09 PM"
107025137,Accepted,"Sep 24, 2022, 9:00:53 PM"
69932083,Accepted,"Sep 25, 2022, 2:24:19 PM"
90728939,Accepted,"Sep 27, 2022, 1:51:19 AM"
105177358,Accepted,"Dec 11, 2022, 12:50:50 PM"
86899776,Accepted,"Dec 11, 2022, 8:24:52 PM"
109144954,Accepted,"Jan 27, 2023, 6:20:31 AM"
41803132,Accepted,"Feb 9, 2023, 5:03:40 AM"
5683439,Accepted,"Feb 12, 2023, 1:44:55 PM"
103984280,Accepted,"Feb 24, 2023, 11:34:51 PM"
51825730,Accepted,"Mar 5, 2023, 9:14:55 PM"
49067715,Accepted,"Mar 19, 2023, 7:59:12 PM"
43962377,Accepted,"Mar 19, 2023, 8:33:05 PM"
112294463,Accepted,"May 19, 2023, 3:48:28 PM"
113197369,Accepted,"May 19, 2023, 3:48:51 PM"
45186447,Accepted,"Jun 21, 2023, 10:33:35 AM"
99773224,Accepted,"Jun 24, 2023, 4:50:49 PM"
46746285,Accepted,"Jul 15, 2023, 5:12:10 PM"
26271937,Accepted,"Jul 28, 2023, 1:27:36 AM"
123135334,Accepted,"Aug 26, 2023, 2:58:32 PM"
62449664,Accepted,"Aug 27, 2023, 1:53:11 PM"
61629858,Accepted,"Aug 29, 2023, 12:08:09 PM"
121176654,Accepted,"Aug 29, 2023, 4:20:22 PM"
61438163,Accepted,"Sep 2, 2023, 4:11:51 PM"
52594034,Accepted,"Sep 4, 2023, 5:13:04 PM"
51891242,Accepted,"Sep 5, 2023, 12:35:48 PM"
117109869,Accepted,"Sep 7, 2023, 11:51:51 PM"
40524725,Accepted,"Sep 8, 2023, 12:02:43 AM"
119194141,Accepted,"Sep 11, 2023, 7:35:53 PM"
46855954,Accepted,"Sep 15, 2023, 3:45:40 AM"
123978900,Accepted,"Sep 28, 2023, 5:05:07 PM"
125232869,Accepted,"Sep 28, 2023, 5:13:46 PM"
89520292,Accepted,"Sep 30, 2023, 3:42:12 PM"
72452900,Accepted,"Oct 28, 2023, 11:16:19 PM"
27688947,Accepted,"Oct 29, 2023, 9:57:34 PM"
105087224,Accepted,"Nov 18, 2023, 4:32:50 AM"
87524001,Accepted,"Nov 29, 2023, 9:01:44 PM"
104344047,Accepted,"Dec 17, 2023, 1:36:27 AM"
118412716,Accepted,"Dec 26, 2023, 4:06:06 AM"
54299560,Accepted,"Mar 1, 2024, 5:46:48 PM"
40109316,Accepted,"Mar 12, 2024, 10:02:37 PM"
84327517,Accepted,"Mar 14, 2024, 4:18:54 AM"
106849442,Accepted,"Mar 21, 2024, 2:16:02 AM"
23741467,Accepted,"Mar 24, 2024, 5:43:36 AM"
119078314,Accepted,"Apr 11, 2024, 6:40:53 PM"
73704997,Accepted,"Apr 30, 2024, 2:11:44 AM"
127077072,Accepted,"Jun 10, 2024, 1:23:55 PM"
108197497,Accepted,"Jun 13, 2024, 2:36:20 AM"
68492935,Accepted,"Jun 13, 2024, 8:23:01 PM"
83418888,Accepted,"Jun 21, 2024, 1:30:21 PM"
119565242,Accepted,"Jun 23, 2024, 4:19:46 AM"
20572221,Accepted,"Jun 23, 2024, 7:45:40 AM"
68714685,Accepted,"Jun 25, 2024, 4:59:52 PM"
82469952,Accepted,"Jul 17, 2024, 12:05:33 AM"
81581172,Accepted,"Jul 31, 2024, 11:49:28 PM"
130621535,Accepted,"Aug 8, 2024, 4:59:21 AM"
145195171,Accepted,"Aug 18, 2024, 5:55:33 AM"
65978939,Accepted,"Aug 20, 2024, 3:08:57 PM"
74530628,Accepted,"Aug 23, 2024, 1:43:39 PM"
70653952,Accepted,"Sep 1, 2024, 1:13:34 PM"
32111484,Accepted,"Sep 6, 2024, 11:24:10 PM"
140677362,Accepted,"Sep 12, 2024, 10:22:59 PM"
117556051,Accepted,"Sep 16, 2024, 2:53:49 PM"
47966468,Accepted,"Sep 24, 2024, 3:28:32 PM"
62109571,Accepted,"Oct 13, 2024, 2:53:24 AM"
65663467,Accepted,"Oct 19, 2024, 7:48:29 PM"
148034288,Accepted,"Nov 16, 2024, 10:05:25 PM"
56237416,Accepted,"Nov 21, 2024, 2:44:58 AM"
71614915,Accepted,"Jan 15, 2025, 2:23:13 AM"
71469462,Accepted,"Jan 17, 2025, 4:28:03 PM"
141407931,Accepted,"Jan 23, 2025, 5:48:30 PM"
159318917,Accepted,"Feb 19, 2025, 12:48:33 AM"
